	3632887	415	other-empty	!!
	3632887	113	other-google	!!
	3632887	33	other-wikipedia	!!
	600744	25	other-yahoo	!!!
	600744	1193	other-google	!!!
	600744	1065	other-empty	!!!
25014178	600744	44	Jerry_Fuchs	!!!
34552784	600744	11	Flight_Facilities	!!!
4499	600744	21	Band	!!!
1446971	600744	14	Gold_Standard_Laboratories	!!!
8526330	600744	70	Myth_Takes	!!!
1507641	600744	139	LCD_Soundsystem	!!!
2064029	600744	31	Out_Hud	!!!
26780719	600744	40	List_of_post-punk_revival_bands	!!!
39256216	600744	95	Thr!!!er	!!!
11184232	600744	35	Tony_Hawk's_Proving_Ground	!!!
1327495	600744	11	Sziget_Festival	!!!
156725	600744	110	Warp_(record_label)	!!!
29631	600744	14	Sacramento,_California	!!!
	600744	136	other	!!!
929155	600744	31	Touch_and_Go_Records	!!!
40604381	600744	88	Grand_Theft_Auto_V_soundtrack	!!!
11108427	600744	21	FIFA_08	!!!
7712754	600744	14	Exclamation_mark	!!!
12730440	600744	33	Grand_Theft_Auto_IV_soundtrack	!!!
7007982	600744	11	New_rave	!!!
558500	600744	105	List_of_alternative_rock_artists	!!!
870667	600744	14	Pressure_Chief	!!!
	600744	210	other-wikipedia	!!!
	600744	17	other-bing	!!!
14172091	600744	11	St_Jerome's_Laneway_Festival	!!!
3768982	600744	22	Tsk_Tsk_Tsk	!!!
26762896	600744	17	This_Is_Happening	!!!
3259409	600744	20	The_Juan_MacLean	!!!
3140017	600744	20	Jim_Eno	!!!
40022038	600744	14	List_of_people_from_Sacramento,_California	!!!
2061699	600744	33	Louden_Up_Now	!!!
18636054	600744	15	Nic_Offer	!!!
15580374	600744	105	Main_Page	!!!
2490600	600744	105	James_Murphy_(electronic_musician)	!!!
1803975	600744	53	Dance-punk	!!!
64486	600744	63	!_(disambiguation)	!!!
3632887	600744	29	!!	!!!
2556962	600744	56	!!!_(album)	!!!
	2556962	332	other-empty	!!!_(album)
2061699	2556962	25	Louden_Up_Now	!!!_(album)
600744	2556962	328	!!!	!!!_(album)
	2556962	18	other-google	!!!_(album)
	2556962	25	other-wikipedia	!!!_(album)
	6893310	200	other-empty	!Hero_(album)
	6893310	21	other-google	!Hero_(album)
1921683	6893310	26	!Hero	!Hero_(album)
	2516600	432	other-empty	!Kung_language
	2516600	197	other-google	!Kung_language
1758827	2516600	154	ǃKung_people	!Kung_language
22980	2516600	74	Phoneme	!Kung_language
	2516600	20	other	!Kung_language
261237	2516600	21	The_Gods_Must_Be_Crazy	!Kung_language
247700	2516600	12	Xu_language	!Kung_language
	2516600	29	other-wikipedia	!Kung_language
1383618	2516600	33	Mama_and_papa	!Kung_language
7863678	2516600	12	List_of_endangered_languages_in_Africa	!Kung_language
524854	2516600	20	Alveolar_clicks	!Kung_language
34314219	2516600	11	Ekoka_!Kung	!Kung_language
27164415	2516600	100	Contents_of_the_Voyager_Golden_Record	!Kung_language
524853	2516600	21	Palatal_nasal	!Kung_language
17333	2516600	45	Khoisan_languages	!Kung_language
713020	2516600	56	Juǀ'hoan_dialect	!Kung_language
	29988427	300	other-empty	!Women_Art_Revolution
	29988427	93	other-google	!Women_Art_Revolution
	29988427	24	other-wikipedia	!Women_Art_Revolution
420777	29988427	14	Zeitgeist_Films	!Women_Art_Revolution
6814223	29988427	23	Lynn_Hershman_Leeson	!Women_Art_Revolution
1686995	29988427	27	Carrie_Brownstein	!Women_Art_Revolution
	64486	650	other-empty	!_(disambiguation)
	64486	226	other-google	!_(disambiguation)
	64486	23	other-wikipedia	!_(disambiguation)
600744	64486	14	!!!	!_(disambiguation)
7712754	64486	237	Exclamation_mark	!_(disambiguation)
	16250456	145	other-empty	"B"_Is_for_Burglar
	16250456	104	other-google	"B"_Is_for_Burglar
470006	16250456	40	Sue_Grafton	"B"_Is_for_Burglar
2301720	16250456	17	Kinsey_Millhone	"B"_Is_for_Burglar
1282996	16250456	59	"A"_Is_for_Alibi	"B"_Is_for_Burglar
	16250456	20	other-wikipedia	"B"_Is_for_Burglar
	1118809	24	other-yahoo	"Crocodile"_Dundee_II
	1118809	895	other-google	"Crocodile"_Dundee_II
693780	1118809	399	Paul_Hogan	"Crocodile"_Dundee_II
331586	1118809	1867	"Crocodile"_Dundee	"Crocodile"_Dundee_II
2564144	1118809	208	Crocodile_Dundee_in_Los_Angeles	"Crocodile"_Dundee_II
70209	1118809	27	Cinema_of_Australia	"Crocodile"_Dundee_II
331460	1118809	11	Bowie_knife	"Crocodile"_Dundee_II
2259599	1118809	11	Susie_Essman	"Crocodile"_Dundee_II
	1118809	203	other-wikipedia	"Crocodile"_Dundee_II
	1118809	24	other-bing	"Crocodile"_Dundee_II
171292	1118809	111	1988_in_film	"Crocodile"_Dundee_II
19824417	1118809	15	List_of_action_films_of_the_1980s	"Crocodile"_Dundee_II
	1118809	27	other	"Crocodile"_Dundee_II
657547	1118809	38	Stephen_Root	"Crocodile"_Dundee_II
	1118809	335	other-empty	"Crocodile"_Dundee_II
2321513	1118809	81	John_Meillon	"Crocodile"_Dundee_II
10670306	1118809	18	Michael_"Crocodile"_Dundee	"Crocodile"_Dundee_II
